Type,CardText
Response,Pranayama breath retention contest during japa.
Response,Running full speed into a wall because you were reading while walking to the temple.
Response,Sacrificing Uncle Tim's peace and quiet by moving a brahmachari ashram into his basement.
Response,Showing everyone my pranama mantra tattoo.
Response,THE SUDARSHANA CHAKRA!
Response,Talking to the Jagannath Deities about my relationship problems.
Response,The devotee who insists on checking your tongue for hari-nama residue.
Response,The time the temple president and the head pujari stopped speaking to each other.
Response,Kali Yuga's middle finger.
Response,This stupid Cards Against Maya game.
Response,Quitting the material world.
Response,Your maya!
Response,A bad Bhagavatam class speaker who just reads the purport word for word.
Response,Drinking from the Yamuna and eating maha-prasadam off the floor like a proper sadhu.
Response,Fist-fighting Hiranyakashipu.
Response,Some freakin' privacy in the brahmachari ashram for once.
Response,Stinking up the whole temple van on the way back from harinama.
Response,"A devotee who is very sweet, but very new."
Response,"A dead Putana, expanding across the landscape."
Response,"A long, hot abhisheka."
Response,A smelly sadhu from the 1800s who hasn't bathed since Kartik.
Response,A stranger with maha-prasadam.
Response,Becoming the next GBC.
Response,Brahmacharis.
Response,Haldi fingers after cooking the Sunday Feast offering.
Response,"Cold, wet chapatis from last night's offering."
Response,Diaper-wearing baby Krishna covered in butter and dirt.
Response,Eating a burfi while doing parikrama around a sacred cow.
Response,Full-body ecstatic trembling during the Gaura Arati.
Response,Giant Enemy Demon (Ravana's inflatable effigy at Dussehra).
Response,Kali-yuga.
Response,Hanging with my cow doing cow stuff.
Response,Maha-prasadam ice cream from Govinda's.
Response,Laughing so hard mango lassi comes out of your nose.
Response,Itchy feet from not wearing shoes in the temple for fourteen years straight.
Response,"Mashing a banana into a bowl and calling it ""prasadam baby food."""
Response,The false ego.
Response,No longer attending gurukula because I already memorized the entire Bhagavatam.
Response,Releasing the Garuda!
Response,Screaming and screaming during the last round of Gaura-arati kirtan and never stopping.
Response,"Slappy Spatchy, the game where brahmacharis slap each other with chapati rollers."
Response,Stealing a peacock from Vrindavan and taking it home in your bead bag.
Response,That there Narasimhadeva emerging from the pillar.
Response,The crocodile that grabbed Gajendra's leg.
Response,The temple van driver.
Response,The peacock who eats grains out of Krishna's hand.
Response,The Sweet Rice Walla outside the Jagannath temple.
Response,"Rukmini Devi, whom Krishna married by kidnapping her on a chariot."
Response,Devotee counselor meetings.
Response,Total prajalpa.
Response,Mystic yoga siddhis used for the wrong reasons.
Response,A karmi.
Response,A mayavadi.
Response,A caveman named Jada Bharata.
Response,"Timingila, the whale-swallowing fish."
Response,A killer Narasimhadeva.
Response,A whole pot of yesterday's dahl.
Response,Being pregnant with a demon who already tried to kill you twice from the womb.
Response,Gopi dots body glitter.
Response,Getting your head replaced by an elephant's after a mishap with Lord Shiva.
Response,Temple cat pee on the vyasasana cushion.
Response,The kingdom of China described in the Mahabharata.
Response,Ditching the morning program.
Response,Eating bicycles to somehow become famous like Bhima.
Response,Offering a loud pranam and blaming the sound on the mridanga.
Response,Flipping the table during a GBC meeting.
Response,Spiritual freedom from the cycle of birth and death.
Response,Getting swatted by a pujari's chamara for touching the Deities.
Response,Vaishnava aparadha.
Response,Jata growing out of weird places on a babaji.
Response,Sanskrit camp.
Response,Moving to Mayapur.
Response,Pink eye from rubbing my face on the vyasasana cushion.
Response,"Pork, which devotees have never even thought about because we were already vegetarian before that was cool."
Response,Going through brahmacharya puberty where your voice cracks during mangala-arati.
Response,"Satan, who doesn't exist in our philosophy but Kali Yuga is doing a pretty good impression."
Response,The shame of eating non-offered food.
Response,Slapping that mridanga.
Response,Snot bubbles during an intense crying kirtan.
Response,Squeezing a lemon into my eye as austerity for Kartik.
Response,Leaving a pile of half-chewed maha in the hallway and blaming it on the temple cat.
Response,Leaving a plate of maha on the vyasasana when no one's looking.
Response,The halava.
Response,Tickling the pujari 'til he drops the ghee lamp.
Response,Toe jam from doing parikrama barefoot in Vrindavan.
Response,"The planet of Uranus, which is also in the material world and therefore temporary."
Response,KURUKSHETRA!
Response,Prabhu's nasty feet after barefoot parikrama.
Response,What happens after drinking Yamuna water without a filter.
Response,Making the temple bathroom smell after Sunday Feast dal.
Response,"Wee-wee on the temple floor, courtesy of a toddler during arati."
Response,"Stealing Deities from other temples, which actually has a long historical tradition in India."
Response,Taking a selfie with the Deities during darshan arati.
Response,A beautiful painting of Lord Jagannatha's big round eyes.
Response,A bountiful harvest of Damodara month pumpkins and gourds.
Response,"A cow that produces more cows (Surabhi, basically)."
Response,"A cowherd boy who is half boy, half butter thief."
Response,"A nice, warm glass of Govardhan Hill milk, straight from the cow."
Response,A pair of lotus feet just walking around Vrindavan.
Response,A surabhi cow that gives rivers of condensed milk.
Response,Solitary bhajan in a locked room.
Response,Bathing in the Radha Kunda at 4 AM.
Response,The cave Jambavan dragged Krishna into.
